genres	avg. votes	avg. rating	avg. runtime
Documentary,Drama,Romance	127	7.2	78.0
Documentary,Drama,Sci-Fi	600	6.6	84.0
Documentary,Drama,Sport	736	7.5	80.0
Documentary,Drama,Thriller	90	7.1	90.0
Documentary,Drama,War	2023	7.3	78.0
Documentary,Drama,Western	823	5.9	88.0
Documentary,Family	599	7.2	75.0
Documentary,Family,Fantasy	132	7.3	76.0
Documentary,Family,History	161	7.4	73.0
Documentary,Family,Music	207	7.9	76.0
Documentary,Family,Musical	1489	7.6	80.0
Documentary,Family,Mystery	1766	7.4	80.0
Documentary,Family,News	80	7.5	72.0
Documentary,Family,Romance	15	7.3	71.0
Documentary,Family,Sci-Fi	150	6.3	90.0
Documentary,Family,Sport	57	7.9	80.0
Documentary,Family,War	24	7.1	74.0
Documentary,Family,Western	85	7.7	66.0
Documentary,Fantasy	172	6.6	74.0
Documentary,Fantasy,History	88	6.8	70.0
Documentary,Fantasy,Horror	3242	6.0	69.0
Documentary,Fantasy,Music	165	7.4	86.0
Documentary,Fantasy,Musical	16	6.4	23.0
Documentary,Fantasy,Mystery	15	6.6	75.0
Documentary,Fantasy,Sci-Fi	54	5.6	80.0
Documentary,Game-Show,Reality-TV	100	7.3	150.0
Documentary,History	333	7.3	76.0
Documentary,History,Horror	88	6.3	96.0
Documentary,History,Music	591	7.5	81.0
Documentary,History,Musical	33	7.7	86.0
Documentary,History,Mystery	81	6.8	73.0
Documentary,History,News	232	7.3	79.0
Documentary,History,Reality-TV	97	7.5	74.0
Documentary,History,Romance	362	7.4	82.0
Documentary,History,Sci-Fi	143	6.5	70.0
Documentary,History,Sport	396	7.6	75.0
Documentary,History,Thriller	214	7.7	80.0
Documentary,History,War	403	7.4	78.0
Documentary,History,Western	172	7.2	78.0
Documentary,Horror	513	6.2	78.0
Documentary,Horror,Music	191	6.8	76.0
Documentary,Horror,Musical	5	5.6	81.0
Documentary,Horror,Mystery	700	5.9	76.0
Documentary,Horror,News	7	7.8	80.0
Documentary,Horror,Romance	991	6.2	71.0
Documentary,Horror,Sci-Fi	113	5.6	82.0
Documentary,Horror,Thriller	162	5.5	81.0
Documentary,Horror,War	7	7.5	61.0
Documentary,Music	457	7.4	79.0
Documentary,Music,Musical	279	7.4	82.0
Documentary,Music,Mystery	178	7.1	71.0
Documentary,Music,News	338	7.5	71.0
Documentary,Music,Romance	833	7.3	83.0
Documentary,Music,Sci-Fi	11	8.7	62.0
Documentary,Music,Sport	162	7.3	74.0
Documentary,Music,Thriller	6549	6.8	86.0
Documentary,Music,War	324	7.8	73.0
Documentary,Music,Western	7	7.7	75.0
Documentary,Musical	108	7.1	79.0
Documentary,Musical,Mystery	8	7.9	120.0
Documentary,Musical,Sport	10	5.8	63.0
Documentary,Musical,Thriller	9	8.5	98.0
Documentary,Mystery	257	6.8	77.0
Documentary,Mystery,News	11	7.8	54.0
Documentary,Mystery,Reality-TV	53	1.4	
Documentary,Mystery,Sci-Fi	173	6.7	80.0
Documentary,Mystery,Sport	31	7.6	
Documentary,Mystery,Thriller	138	7.3	103.0
Documentary,News	472	7.2	72.0
Documentary,News,Reality-TV	35	9.4	60.0
Documentary,News,Romance	122	7.2	61.0
Documentary,News,Sport	92	5.3	81.0
Documentary,News,Thriller	224	5.7	74.0
Documentary,News,War	411	7.4	63.0
Documentary,Reality-TV	118	6.1	69.0
Documentary,Reality-TV,Thriller	32	6.1	75.0
Documentary,Romance	234	6.9	74.0
Documentary,Romance,War	267	7.4	96.0
Documentary,Sci-Fi	307	6.9	70.0
Documentary,Sci-Fi,Thriller	28	7.8	68.0
Documentary,Sport	398	7.4	76.0
Documentary,Sport,Talk-Show	348	7.2	95.0
Documentary,Sport,Thriller	33	7.9	111.0
Documentary,Sport,War	28	7.7	77.0
Documentary,Sport,Western	10	7.6	50.0
Documentary,Talk-Show	35	7.4	63.0
Documentary,Talk-Show,Thriller	13	6.2	70.0
Documentary,Thriller	492	7.5	82.0
Documentary,Thriller,War	114	7.3	96.0
Documentary,War	323	7.2	76.0
Documentary,War,Western	45	6.4	97.0
Documentary,Western	109	7.4	74.0
Drama	752	6.4	92.0
Drama,Family	745	6.6	95.0
Drama,Family,Fantasy	6436	6.4	92.0
Drama,Family,History	927	6.9	87.0
Drama,Family,Horror	157	5.4	89.0
Drama,Family,Music	398	6.5	97.0
Drama,Family,Musical	2355	6.8	119.0
Drama,Family,Mystery	580	6.0	90.0
Drama,Family,Romance	1059	6.4	103.0
Drama,Family,Sci-Fi	629	6.1	85.0
Drama,Family,Sport	3300	6.4	98.0
Drama,Family,Thriller	268	6.3	97.0
Drama,Family,War	541	6.6	93.0
Drama,Family,Western	680	6.4	95.0
Drama,Fantasy	1654	6.4	92.0
Drama,Fantasy,Film-Noir	1375	7.1	93.0
Drama,Fantasy,History	5815	6.4	95.0
Drama,Fantasy,Horror	9787	5.7	94.0
Drama,Fantasy,Music	3014	7.5	123.0
Drama,Fantasy,Musical	537	6.8	127.0
Drama,Fantasy,Mystery	10419	6.3	95.0
Drama,Fantasy,Romance	14721	6.4	102.0
Drama,Fantasy,Sci-Fi	3134	6.1	89.0
Drama,Fantasy,Sport	15165	7.2	109.0
Drama,Fantasy,Thriller	4942	6.0	97.0
Drama,Fantasy,War	56738	6.9	97.0
Drama,Fantasy,Western	950	6.1	90.0
Drama,Film-Noir	12188	6.7	87.0
Drama,Film-Noir,Horror	537	6.0	79.0
Drama,Film-Noir,Music	1517	6.4	95.0
Drama,Film-Noir,Mystery	5496	6.6	85.0
Drama,Film-Noir,Romance	10175	6.9	98.0
Drama,Film-Noir,Sport	3030	6.9	93.0
Drama,Film-Noir,Thriller	2314	6.6	88.0
Drama,History	1064	6.6	105.0
Drama,History,Horror	2140	6.1	104.0
Drama,History,Music	1921	7.1	111.0
Drama,History,Musical	787	7.1	118.0
Drama,History,Mystery	3212	6.6	101.0
Drama,History,Romance	1831	6.4	111.0
Drama,History,Sci-Fi	1283	5.4	98.0
Drama,History,Sport	5613	6.3	108.0
Drama,History,Thriller	22008	6.6	113.0
Drama,History,War	2799	6.5	112.0
Drama,History,Western	1293	6.3	95.0
Drama,Horror	3056	5.5	88.0
Drama,Horror,Music	11757	6.1	83.0
Drama,Horror,Musical	26750	6.5	118.0
Drama,Horror,Mystery	9174	5.3	92.0
Drama,Horror,Romance	3073	5.6	97.0
Drama,Horror,Sci-Fi	18331	5.3	91.0
Drama,Horror,Sport	249	5.3	90.0
Drama,Horror,Thriller	3100	5.2	91.0
Drama,Horror,War	1365	6.6	105.0
Drama,Horror,Western	10768	4.8	93.0
Drama,Music	3738	6.7	105.0
Drama,Music,Musical	6025	6.6	103.0
Drama,Music,Mystery	7414	6.5	98.0
Drama,Music,Romance	5662	6.3	100.0
Drama,Music,Sci-Fi	1003	5.9	77.0
Drama,Music,Sport	79	5.6	86.0
Drama,Music,Thriller	2891	6.3	102.0
Drama,Music,War	958	7.2	96.0
Drama,Music,Western	102	6.1	61.0
Drama,Musical	491	6.5	107.0
Drama,Musical,Mystery	375	6.2	116.0
Drama,Musical,Romance	3174	6.4	119.0
Drama,Musical,Sci-Fi	27	5.5	98.0
Drama,Musical,Sport	62139	7.1	160.0
Drama,Musical,Thriller	741	6.1	99.0
Drama,Musical,War	660	6.5	100.0
Drama,Musical,Western	85	6.4	98.0
Drama,Mystery	1990	6.3	93.0
Drama,Mystery,News	9	7.3	65.0
Drama,Mystery,Romance	8476	6.2	100.0
Drama,Mystery,Sci-Fi	38898	5.9	96.0
Drama,Mystery,Sport	216	6.3	73.0
Drama,Mystery,Thriller	11857	5.9	97.0
Drama,Mystery,War	49338	6.8	101.0
Drama,Mystery,Western	6462	6.3	85.0
Drama,News,Thriller	513	6.1	77.0
Drama,News,War	19	5.6	70.0
Drama,Reality-TV	159	4.3	76.0
Drama,Romance	2747	6.2	98.0
Drama,Romance,Sci-Fi	33873	6.1	96.0
Drama,Romance,Sport	3904	6.0	96.0
Drama,Romance,Thriller	3833	5.9	102.0
Drama,Romance,War	4807	6.6	102.0
Drama,Romance,Western	4057	6.3	96.0
Drama,Sci-Fi	2724	5.9	90.0
Drama,Sci-Fi,Sport	188	6.2	94.0
Drama,Sci-Fi,Thriller	14262	5.4	93.0
Drama,Sci-Fi,War	2863	6.3	95.0
Drama,Sci-Fi,Western	312	3.6	86.0
Drama,Sport	6318	6.2	98.0
Drama,Sport,Thriller	2585	5.9	105.0
Drama,Sport,War	5844	7.1	100.0
Drama,Sport,Western	309	5.3	83.0
Drama,Talk-Show	46	4.9	
Drama,Thriller	3080	5.9	95.0
Drama,Thriller,War	10537	6.2	95.0
Drama,Thriller,Western	6825	6.1	98.0
Drama,War	3079	6.4	96.0
Drama,War,Western	4857	6.2	105.0
Drama,Western	2959	6.0	79.0
Family	100	6.3	77.0
Family,Fantasy	198	5.9	73.0
Family,Fantasy,History	310	6.4	76.0
Family,Fantasy,Horror	1384	5.6	92.0
Family,Fantasy,Music	679	6.4	87.0
Family,Fantasy,Musical	1031	6.0	86.0
Family,Fantasy,Mystery	232	6.0	80.0
Family,Fantasy,Romance	423	6.2	77.0
Family,Fantasy,Sci-Fi	141	5.5	82.0
Family,Fantasy,Sport	176	5.6	72.0
Family,Fantasy,War	14	5.3	65.0
Family,Fantasy,Western	248	5.2	104.0
Family,History,Musical	58	6.8	158.0
Family,History,Reality-TV	46	7.0	22.0
Family,History,Sci-Fi	44	6.3	99.0
Family,History,War	58	8.0	75.0
Family,Horror	296	5.3	88.0
Family,Horror,Mystery	2624	5.5	76.0
Family,Horror,Romance	55	5.4	110.0
Family,Horror,Sci-Fi	1902	4.8	70.0
Family,Horror,Thriller	131	5.4	89.0
Family,Horror,War	8	5.3	50.0
Family,Music	99	7.2	68.0
Family,Music,Musical	5962	7.0	118.0
Family,Music,Romance	378	5.9	91.0
Family,Music,Sport	20	9.1	90.0
Family,Music,Western	40	8.3	
Family,Musical	99	6.4	69.0
Family,Musical,Mystery	28	7.4	78.0
Family,Musical,Romance	600	6.4	122.0
Family,Musical,Sci-Fi	26	7.5	55.0
Family,Musical,Sport	18	7.6	132.0
Family,Mystery	195	6.2	80.0
Family,Mystery,Romance	1090	6.8	88.0
Family,Mystery,Sci-Fi	60	7.2	81.0
Family,Mystery,Sport	296	4.5	110.0
Family,Mystery,Thriller	50	6.0	94.0
Family,Reality-TV	39	3.3	
Family,Romance	546	6.1	99.0
Family,Romance,Sci-Fi	278	6.0	112.0
Family,Romance,Sport	2275	5.3	99.0
Family,Romance,Western	1513	6.7	88.0
Family,Sci-Fi	689	5.3	88.0
Family,Sci-Fi,Sport	31	7.3	85.0
Family,Sci-Fi,Thriller	2482	5.1	98.0
Family,Sport	356	5.7	90.0
Family,Thriller	219	6.4	115.0
Family,War	37	6.5	92.0
Family,Western	520	6.1	102.0
Fantasy	102	6.2	83.0
Fantasy,History	90	6.6	106.0
Fantasy,History,Horror	200	7.2	90.0
Fantasy,History,Music	25	7.8	76.0
Fantasy,History,Musical	6	6.4	57.0
Fantasy,History,Romance	357	5.8	96.0
Fantasy,History,War	43	7.3	67.0
Fantasy,Horror	7125	5.3	87.0
Fantasy,Horror,Music	1714	5.0	88.0
Fantasy,Horror,Musical	1415	4.7	83.0
Fantasy,Horror,Mystery	9882	5.3	95.0
Fantasy,Horror,Romance	9968	5.5	90.0
Fantasy,Horror,Sci-Fi	1812	4.8	84.0
Fantasy,Horror,Thriller	4991	5.0	89.0
Fantasy,Horror,War	1009	6.0	87.0
Fantasy,Horror,Western	459	5.1	75.0
Fantasy,Music	123	7.5	82.0
Fantasy,Music,Musical	697	7.4	75.0
Fantasy,Music,Mystery	47	8.3	73.0
Fantasy,Music,Romance	96	7.7	128.0
Fantasy,Musical	68	6.2	88.0
Fantasy,Musical,Mystery	832	8.4	72.0
Fantasy,Musical,Romance	1735	6.6	110.0
Fantasy,Musical,Sci-Fi	300	6.1	105.0
Fantasy,Musical,Western	201	3.7	78.0
Fantasy,Mystery	71	6.0	83.0
Fantasy,Mystery,Romance	19937	5.6	89.0
Fantasy,Mystery,Sci-Fi	14302	5.8	90.0
Fantasy,Mystery,Thriller	1458	5.9	84.0
Fantasy,Mystery,War	40	5.7	112.0
Fantasy,Mystery,Western	5414	7.1	100.0
Fantasy,Romance	684	6.2	93.0
Fantasy,Romance,Sci-Fi	208	6.1	86.0
Fantasy,Romance,Thriller	512	6.0	96.0
Fantasy,Sci-Fi	438	5.4	101.0
Fantasy,Sci-Fi,Thriller	209	5.4	79.0
Fantasy,Sci-Fi,War	97	7.9	25.0
Fantasy,Sci-Fi,Western	236	3.5	83.0
Fantasy,Sport	33	6.8	105.0
Fantasy,Talk-Show	21	6.9	45.0
Fantasy,Thriller	692	5.7	90.0
Fantasy,War	227	5.7	102.0
Fantasy,Western	493	5.4	83.0
Film-Noir,Horror	219	4.7	68.0
Film-Noir,Horror,Mystery	1685	6.3	62.0
Film-Noir,Horror,Sci-Fi	10992	7.4	70.0
Film-Noir,Horror,Thriller	4111	6.6	72.0
Film-Noir,Mystery	745	6.3	74.0
Film-Noir,Mystery,Romance	26326	6.9	96.0
Film-Noir,Mystery,Thriller	48625	6.8	91.0
Film-Noir,Romance,Thriller	2139	6.3	91.0
Film-Noir,Thriller	20871	7.1	94.0
Film-Noir,Western	349	5.6	70.0
Game-Show	32	6.4	41.0
History	56	6.9	83.0
History,Horror	250	5.7	92.0
History,Horror,Musical	5	7.4	
History,Horror,Mystery	93	6.4	100.0
History,Horror,Sci-Fi	36	6.8	88.0
History,Horror,Thriller	395	4.7	89.0
History,Horror,War	13	7.0	96.0
History,Music	49	7.8	62.0
History,Music,Romance	443	6.2	94.0
History,Musical	404	6.5	88.0
History,Musical,Romance	130	7.3	161.0
History,Mystery	90	6.4	168.0
History,Mystery,Thriller	197	4.9	92.0
History,Romance	100	6.3	95.0
History,Romance,Sci-Fi	53	6.4	119.0
History,Romance,Thriller	1293	5.8	112.0
History,Romance,War	433	6.1	86.0
History,Romance,Western	1488	5.8	101.0
History,Sci-Fi	34	6.7	92.0
History,Sci-Fi,Thriller	439	2.4	125.0
History,Sci-Fi,War	76	5.2	114.0
History,Sport	1924	7.6	98.0
History,Sport,Thriller	12629	6.2	102.0
History,Thriller	388	7.2	100.0
History,Thriller,War	455	4.8	86.0
History,War	187	6.3	100.0
History,War,Western	386	6.0	100.0
History,Western	423	6.3	82.0
Horror	1094	4.8	85.0
Horror,Music	480	5.9	76.0
Horror,Music,Musical	29	4.9	50.0
Horror,Music,Mystery	713	5.2	89.0
Horror,Music,Sci-Fi	606	4.6	81.0
Horror,Music,Thriller	1750	5.1	84.0
Horror,Musical	672	4.9	93.0
Horror,Musical,Romance	11	5.0	76.0
Horror,Musical,Sci-Fi	5521	6.4	98.0
Horror,Mystery	10600	5.2	89.0
Horror,Mystery,Reality-TV	20	1.6	42.0
Horror,Mystery,Romance	1798	5.5	96.0
Horror,Mystery,Sci-Fi	17809	5.1	90.0
Horror,Mystery,Thriller	13115	5.2	92.0
Horror,Mystery,Western	60	5.5	91.0
Horror,Reality-TV	104	5.3	92.0
Horror,Romance	487	5.2	92.0
Horror,Romance,Sci-Fi	1378	4.9	83.0
Horror,Romance,Thriller	702	5.2	97.0
Horror,Romance,Western	568	4.7	98.0
Horror,Sci-Fi	5199	4.7	85.0
Horror,Sci-Fi,Thriller	10294	4.7	90.0
Horror,Sci-Fi,War	102	5.3	78.0
Horror,Sci-Fi,Western	1243	3.6	76.0
Horror,Sport	762	4.1	82.0
Horror,Sport,Thriller	249	4.4	92.0
Horror,Thriller	3866	4.8	89.0
Horror,Thriller,War	1079	4.1	92.0
Horror,Thriller,Western	2442	5.1	84.0
Horror,War	721	4.0	87.0
Horror,Western	530	4.7	85.0
Music	60	7.6	82.0
Music,Musical	78	7.0	91.0
Music,Musical,Romance	176	6.6	95.0
Music,Musical,Sci-Fi	2690	4.3	90.0
Music,Mystery	12	7.2	64.0
Music,Mystery,Thriller	1061	6.8	82.0
Music,News	25	7.5	45.0
Music,Reality-TV	12	8.7	81.0
Music,Romance	169	6.3	89.0
Music,Romance,Sport	77	6.2	90.0
Music,Romance,Thriller	24	6.5	
Music,Romance,War	169	6.2	77.0
Music,Romance,Western	1203	5.4	53.0
Music,Sci-Fi	814	6.5	82.0
Music,Sci-Fi,Thriller	272	1.5	
Music,Thriller	47	4.5	41.0
Music,Western	95	6.0	61.0
Musical	86	6.6	92.0
Musical,Mystery	12	4.9	99.0
Musical,Mystery,Romance	301	6.1	119.0
Musical,Mystery,Sci-Fi	20	6.7	86.0
Musical,Mystery,Thriller	203	6.9	143.0
Musical,Romance	256	6.1	102.0
Musical,Romance,Sport	36	6.4	78.0
Musical,Romance,Thriller	232	6.6	159.0
Musical,Romance,War	3499	6.4	103.0
Musical,Romance,Western	4255	6.4	102.0
Musical,Sci-Fi	147	6.1	80.0
Musical,Sci-Fi,Thriller	36	5.7	78.0
Musical,Sport	23	7.5	107.0
Musical,Thriller	244	6.0	110.0
Musical,War	260	6.2	115.0
Musical,Western	136	5.6	79.0
Mystery	149	6.2	93.0
Mystery,Romance	267	6.2	91.0
Mystery,Romance,Sci-Fi	13543	6.7	86.0
Mystery,Romance,Sport	158	5.9	60.0
Mystery,Romance,Thriller	9964	5.9	101.0
Mystery,Romance,War	249	6.1	92.0
Mystery,Romance,Western	104	5.9	88.0
Mystery,Sci-Fi	683	5.4	87.0
Mystery,Sci-Fi,Thriller	13856	5.5	92.0
Mystery,Sport	68	6.0	79.0
Mystery,Thriller	5394	5.7	97.0
Mystery,Thriller,War	1636	6.8	91.0
Mystery,Thriller,Western	148	6.2	96.0
Mystery,War	13	4.5	89.0
Mystery,Western	192	6.0	73.0
News	42	6.8	39.0
Reality-TV	31	6.6	69.0
Reality-TV,Sci-Fi	9	7.2	30.0
Reality-TV,Sport	89	8.6	62.0
Reality-TV,Thriller	18	7.5	70.0
Romance	190	6.1	99.0
Romance,Sci-Fi	1614	5.6	92.0
Romance,Sci-Fi,Thriller	1094	6.1	97.0
Romance,Sport	197	6.3	94.0
Romance,Thriller	564	5.6	104.0
Romance,Thriller,War	3400	7.6	94.0
Romance,War	53	6.4	93.0
Romance,War,Western	723	5.8	85.0
Romance,Western	725	6.1	79.0
Sci-Fi	217	5.5	84.0
Sci-Fi,Sport	13	5.9	64.0
Sci-Fi,Thriller	4413	5.0	89.0
Sci-Fi,War	1308	5.8	65.0
Sci-Fi,Western	65	5.6	82.0
Sport	79	6.9	83.0
Sport,Thriller	494	4.4	85.0
Sport,War	29	7.0	92.0
Talk-Show	28	6.2	63.0
Thriller	323	5.6	92.0
Thriller,War	1688	6.3	92.0
Thriller,War,Western	2294	6.5	74.0
Thriller,Western	707	5.8	86.0
War	85	6.1	93.0
War,Western	1356	5.9	121.0
Western	283	5.9	71.0
